trade_uid,outcome,potential_risk_reward,TP_distance,type_3_m30,side,initial_risk_reward,type_3_d,type_3_M,potential_return,type_2_m15,type_3_h4,entry_price,type_3_m1,type_3_w,unit_test,type_1_m5,type_1_m30,rr,type_1_h1,type_3_m5,session,type_2_h1,type_2_m1,close_price,type_2_h4,initial_return,numerical_confidence,type_3_m15,type_1_M,return,account_name,type_1_w,type_2_m30,type_2_d,account,potential_price,tp_price,type_2_w,type_2_m5,SL_distance,type_3_h1,type_1_d,type_1_m1,type_2_M,entry_time,type_1_h4,type_1_m15,management_strategy,sl_price,htf_poi_ltf_confirmation,htf_poi_ltf_confirmation_False,htf_poi_ltf_confirmation_True,management_strategy_be_after_1r,management_strategy_be_after_push,management_strategy_close_early,management_strategy_no_management,management_strategy_strategy_2,outcome_be,outcome_loss,outcome_win,has_type_1,has_type_2,has_type_3,has_time_frame
1001,,,0.010000000000000009,False,long,1.9999999999999556,False,False,,False,False,1.1,False,False,False,False,False,,False,False,new_york,False,False,,False,0.010000000000000009,3.0,True,False,,default,False,False,False,,,1.11,False,False,0.0050000000000001155,False,False,True,False,2025-01-25 14:46:25.719638000,False,False,no_management,1.095,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
1002,,,0.010000000000000009,False,long,0.6666666666666716,False,False,,False,False,1.2,False,False,False,False,False,-0.9666666666666701,False,False,new_york,True,False,1.1855,False,0.010000000000000009,2.0,False,False,-0.014499999999999957,default,False,False,False,,,1.21,False,False,0.014999999999999902,False,False,False,False,2025-01-25 14:46:25.719681000,False,False,no_management,1.185,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1003,,,0.030000000000000027,False,long,9.99999999999963,False,False,,False,False,1.3,False,False,False,False,False,,False,False,london,False,False,,False,0.030000000000000027,,False,False,,default,False,False,False,,,1.33,False,False,0.5,False,False,False,False,2024-12-27 10:00:01.000000000,False,False,no_management,1.297,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1004,,4.999999999999778,0.030000000000000027,False,long,9.99999999999963,False,False,0.014999999999999902,False,False,1.3,False,False,False,False,False,1.666666666666568,False,False,london,False,False,1.305,False,0.030000000000000027,4.0,False,False,0.004999999999999893,default,False,False,False,,1.315,1.33,False,False,0.5,False,False,False,False,2024-12-25 10:00:00.000000000,False,False,strategy_2,1.297,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1005,win,,0.04716361213900622,True,long,9.432722427801444,False,False,,False,False,1.1391,False,False,True,True,False,4.26000000000011,False,False,tokyo,False,False,1.1604,False,0.04716361213900622,1.0,False,False,0.021300000000000097,,False,False,False,test_account,,1.1862636121390062,True,False,0.004999999999999893,False,False,False,False,2025-01-21 23:17:02.973836428,False,False,be_after_1r,1.1341,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False
1006,win,,0.027663642734444993,False,long,5.532728546889117,False,False,,False,True,1.1274,False,False,True,True,False,1.0100000000000213,False,False,tokyo,True,False,1.13245,False,0.027663642734444993,3.0,False,False,0.005049999999999999,,False,False,False,test_account,,1.155063642734445,False,False,0.004999999999999893,False,False,False,False,2025-01-02 00:42:02.128926139,False,False,close_early,1.1224,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
1007,win,,0.04304410671657277,False,long,8.608821343314737,False,False,,False,False,1.1415,True,False,True,False,False,2.5100000000000655,False,False,tokyo,False,False,1.15405,False,0.04304410671657277,1.0,False,False,0.012550000000000061,,False,True,False,test_account,,1.1845441067165727,False,False,0.004999999999999893,False,False,False,False,2025-01-17 00:10:34.349833712,False,True,close_early,1.1365,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False
1008,win,,-0.042694752846603956,False,short,8.538950569320972,False,False,,False,False,1.136,False,False,True,False,False,5.610000000000102,False,False,tokyo,False,False,1.10795,False,-0.042694752846603956,3.0,False,False,-0.02804999999999991,,False,False,False,test_account,,1.093305247153396,False,False,-0.004999999999999893,True,True,False,True,2025-01-10 00:01:29.582803780,False,False,no_management,1.1409999999999998,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False
1009,win,,-0.02085015026819792,False,short,4.170030053639673,False,False,,False,False,1.1196,False,False,True,False,False,3.5900000000000585,False,False,tokyo,True,False,1.10165,False,-0.02085015026819792,4.0,True,True,-0.01794999999999991,,False,False,False,test_account,,1.098749849731802,False,False,-0.004999999999999893,False,False,False,False,2025-01-18 00:35:18.522507478,False,False,close_early,1.1245999999999998,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
1010,win,,0.015773718208368148,True,long,3.1547436416736967,False,False,,False,False,1.1379,False,False,True,True,False,3.7900000000000853,False,False,tokyo,False,True,1.15685,False,0.015773718208368148,5.0,False,False,0.018950000000000022,,False,False,False,test_account,,1.153673718208368,False,False,0.004999999999999893,False,False,False,False,2024-12-28 01:09:08.826189710,False,False,close_early,1.1329,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
